include,acct,fy,bill,appropriations,agency,administration,suboffice,suboffice_appr,program,program_appr,reference,suboffice_url,notes,summary,mitigation,adaptation,science,power,transportation,industry,agriculture,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment
Y,089-0342-0-1-271,2021,Energy & Water,Y,DOE,Office of Indian Energy,Program Direction,5000,No Program/Research Area (Program Direction),5000,"DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 284, 288",,"Program direction provides federal staff responsible for the management and execution of IE’s programs and activities, as well as the associated support contractors, rent, supplies, travel, and other related expenses. The staff is responsible for providing overall guidance and direction for DOE program offices on tribal energy activities and initiatives necessary to achieve IE’s program objectives and provides day-to-day management of financial assistance, technical assistance, and outreach and education. Program direction also provides managerial support for the reporting, compliance, and other statutory responsibilities.","The Program Direction program provides the federal staff responsible for providing overall guidance and direction for DOE program offices on tribal energy activities and initiatives necessary to achieve IE’s program objectives and provides day-to-day management of financial assistance, technical assistance, and outreach and education.",5000,X,,5000,,,,,,2500,,2500,,,,,,,,5000
Y,089-0322-0-1-272,2021,Energy & Water,Y,DOE,Loan Programs Office,Advanced Technology Vehicle Manufacturing Loan Program,5000,No Program/Research Area (Advanced Technology Vehicle Manufacturing Loan Program),5000,DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 296-9,https://www.energy.gov/lpo/products-services/advanced-technology-vehicles-manufacturing-loan-program,"The Office provides first-of-a-kind projects and other high-impact ventures with access to debt capital that private lenders cannot or will not provide, given the lack of history with new technology that is considered cutting edge. The ATVM program is currently authorized to provide long-term, low-interest rate debt capital to companies looking to manufacture fuel-efficient components and advanced technology light-duty passenger vehicles. This program also has $2.0 million in available balances carried over from prior appropriations. In FY21 this program supported 14 FTEs. ","The Advanced Technology Vehicle Manufacturing Loan Program  provides long-term, low-interest rate debt capital to companies looking to manufacture fuel-efficient components and advanced technology light-duty passenger vehicles. ",5000,,,,5000,,,,,2500,,2500,,,,,,,,5000
Y,089-0208-0-1-271,2021,Energy & Water,Y,DOE,Loan Programs Office,Title 17 Innovative technology Loan Guarantee Program,29000,No Program/Research Area (Title 17 Innovative technology Loan Guarantee Program),29000,DOE FY22 Congressional Budget Justification Volume 3 Part 2  Pages 306-8,https://www.energy.gov/lpo/title-17-governing-documents,"Title 17 Innovative Technology Loan Guarantee Program accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emission, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers. Of the total Title 17 outreach meetings, 33 were for Advanced Nuclear projects, 156 were for Renewable Energy and Energy Efficiency projects, and 104 were for Advanced Fossil projects.","The Title 17 Innovative technology Loan Guarantee Program accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emission, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers.",29000,,,29000,,,,,,9667,9667,9667,,,,,,,,29000
Y,089-0350-0-1-271,2021,Energy & Water,Y,DOE,Loan Programs Office,Tribal Energy Loan Guarantee Program,2000,No Program/Research Area (Tribal Energy Loan Guarantee Program),2000,DOE FY22 Congressional Budget Justification Volume 3 Part 2  Page 318,https://www.energy.gov/lpo/tribal-energy-loan-guarantee-program,This program supports energy development by Indian Tribes. It provides government support to encourage commercial lenders to provide debt capital to Tribal companies and organizations installing robust energy projects and creating jobs modernizing power generation in the nation’s most vulnerable communities.,The Tribal Energy Loan Guarantee Program provides support to commercial lenders to provide debt capital to Tribal companies and organizations installing energy projects.,2000,X,,2000,,,,,,667,667,667,,,,,,,,2000
Y,089-0337-0-1-270-0001,2021,Energy & Water,Y,DOE,Advanced Research Projects Agency - Energy,,427000,Transportation Systems,196000,FY22 Budget Request Volume 3 Part 2 Page 348,https://arpa-e.energy.gov,The Transportation Systems research area focuses on advanced battery electrodes and conductors for high capacity and rapid charge to enable adoption of electrified transportation applications. ,The Transportation Systems research area focuses on advanced battery electrodes and conductors for high capacity and rapid charge to enable adoption of electrified transportation applications. ,427000,,,,427000,,,,,,,427000,,,,,,213500,213500,
Y,089-0337-0-1-270-0001,2021,Energy & Water,Y,DOE,Advanced Research Projects Agency - Energy,,427000,Stationary Power Systems ,196000,FY22 Budget Request Volume 3 Part 2 Page 349,https://arpa-e.energy.gov,"The Stationary Power Systems research area focuses on advanced fusion energy applications, grid resilience, and flexibility.","The Stationary Power Systems research area focuses on advanced fusion energy applications, grid resilience, and flexibility.",427000,,,427000,,,,,,,427000,,,,,,,213500,213500,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,2245000,Condensed Matter and Materials Physics Research,170200,"DOE FY22 Congressional Budget Justification Volume 4, Pages 72, 73, 78",https://www.energy.gov/science/bes/basic-energy-sciences,"This activity supports fundamental experimental and theoretical research to discover, understand, and control novel phenomena in solid materials. These electronic, magnetic, optical, thermal, and structural materials make up the infrastructure for clean energy technologies. Also supported is research to understand the role of rare earth and other critical materials in determining functionality, so that they can be reduced or eliminated from key energy technology supply chains. Transforming the electricity grid into a modern, agile, resilient, and energy-efficient system requires improvements in advanced microelectronics materials, and their integration within a co-design framework.","The Condensed Matter and Materials Physics Research program supports fundamental experimental and theoretical research to discover, understand, and control novel phenomena in solid materials which make up the infrastructure for clean energy technologies. Thins includes research to reduce or eliminate the use of critical minerals from key energy technologies. ",170200,X,,170200,,,,,,85100,85100,,,,,,,170200,,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,2245000,Energy Frontier Research Centers - Materials,575000,"DOE FY22 Congressional Budget Justification Volume 4, Pages 8, 61, 65, 74, 80",https://www.energy.gov/science/bes/basic-energy-sciences,"The EFRCs supported in this subprogram focus on the following topics: the design, discovery, synthesis, characterization, and understanding of novel, solid-state materials that convert energy into electricity; the understanding of materials and processes that are foundational for electrical energy storage and gas separation; quantum materials and quantum information science; microelectronics; and materials for future nuclear energy and waste storage. In FY21 this program provided the fourth year of support for four-year EFRC awards that were made in FY 2018 and the second year of support for four-year EFRC awards that were made in FY 2020.","The Materials Energy Frontier Research Centers support the design, discovery, synthesis, characterization, and understanding of novel, solid-state materials that convert energy into electricity; the understanding of materials and processes that are foundational for electrical energy storage and gas separation; quantum materials and quantum information science; microelectronics; and materials for future nuclear energy and waste storage.",575000,,,575000,,,,,,,,575000,,,,,,575000,,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,224500,Materials Sciences and Engineering - Energy Innovation Hubs,24088,"DOE FY22 Congressional Budget Justification Volume 4, Pages 61, 65, 75, 80",https://www.energy.gov/science/bes/basic-energy-sciences,"The Joint Center for Energy Storage Research (JCESR), the Batteries and Energy Storage Hub, focuses on early-stage research to tackle forefront, basic scientific challenges for next-generation electrochemical energy storage. In FY21 this program focused on early stage research for next generation electrical energy storage for the grid and vehicles, emphasizing understanding the fundamentals of electrochemistry (transport, solvation, evolution of chemistries and materials during charge/ discharge) and discovery of the coupled factors that govern performance.",The Batteries and Energy Storage Innovation Hub focuses on early-stage research to tackle basic science challenges for electrochemical energys storage for the grid and vehicles. ,24088,,,12044,12044,,,,,,,24088,,,,,,24088,,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,224500,Chemical Transformations Research,112292,"DOE FY22 Congressional Budget Justification Volume 4, Pages 61, 65, 85, 89",https://www.energy.gov/science/bes/basic-energy-sciences,"In FY21 this program focused separation science on novel approaches to separate complex chemical mixtures with high efficiency, with increased focus on separation of carbon dioxide from dilute mixtures and funding continued support for fundamental research to understand mechanisms of catalysis and to predict, design, and synthesize novel catalysts and bioinspired metal complexes with enhanced performance for thermo- and electro-chemical conversions important in clean-energy applications and chemical upcycling of polymers. Studies also increase understanding of how rare elements can be minimized in photo- absorbers and catalysts for solar fuels. Advances in solar fuels continue via research on molecular mechanisms of photon capture, electron transfer, and product selectivity and separation from non-target molecules","The Chemical Transformations Research Area focuses on novel approaches to separate complex chemical mixtures with high efficiency, with increased focus on separation of carbon dioxide from dilute mixtures and supporting fundamental research to predict, design, and synthesize novel catalysts and bioinspired metal complexes with enhanced performance for thermo- and electro-chemical conversions important in clean-energy applications and chemical upcycling of polymers. ",112292,,,112292,,,,,,28073,,28073,,28073,28073,,,112292,,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,224500,Photochemistry and Biochemistry Research,82589,"DOE FY22 Congressional Budget Justification Volume 4, Pages 85, 90",https://www.energy.gov/science/bes/basic-energy-sciences,"This activity supports research on the molecular mechanisms that capture light energy and convert it into electrical and chemical energy in both natural and man-made systems. Innovative research on absorption, transfer, and conversion of energy across spatial and temporal scales and on redox interconversion of small molecules (e.g., carbon dioxide/methane, nitrogen/ammonia, and protons/hydrogen) advances basic understanding of dynamic mechanisms of charge transport and reactivity. Research in natural photosynthesis advances knowledge of biological mechanisms of solar energy capture and conversion and can inspire development of bio-hybrid, biomimetic, and artificial photosynthetic systems for clean-energy production. Complementary research on the elementary steps of light absorption, charge separation, and charge transport of solar energy conversion in man-made systems provides foundational knowledge for the use of solar energy for fuel production and electricity generation.",The Photochemistry and Biochemistry Research area focuses on understanding the molecular mechanisms that capture light energy and convert it into electrical and chemcial energy in both natural and man-made systems which can support clean energy and electricity generation applications.  ,82589,,,82589,,,,,,,41295,41295,,,,,,82589,,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,224500,Energy Frontier Research Centers - Chemical,575000,"DOE FY22 Congressional Budget Justification Volume 4, Pages 61, 65, 86",https://www.energy.gov/science/bes/basic-energy-sciences,"The EFRCs supported in this subprogram focus on the following topics: the design, discovery, characterization, and control of the chemical, biochemical, and geological processes for improved electrochemical conversion and storage of energy; the understanding of catalytic chemistry and biochemistry that are foundational for fuels, chemicals, separations, and polymer upcycling; interdependent energy-water issues; quantum information science; future nuclear energy and the chemistry of waste processing; and advanced interrogation and characterization of the earth’s subsurface. In FY21 this program funded the fourth year of support for four-year EFRC awards that were made in FY 2018 and the second year of support for four-year EFRC awards that were made in FY 2020.","The Chemical Energy Frontier Research Centers focuses on the design, discovery, characterization, and control of the chemical, biochemical, and geological processes for improved electrochemical conversion and storage of energy; the understanding of catalytic chemistry and biochemistry that are foundational for fuels, chemicals, separations, and polymer upcycling; nuclear energy; and advanced characterization of the earth’s subsurface.",575000,,,575000,,,,,,,287500,287500,,,,,,575000,,
Y,089-0222-0-1-251-0001,2021,Energy & Water,Y,DOE,Office of Science (SC),Basic Energy Science,224500,"Chemical Sciences, Geosciences, and Biosciences - Energy Innovation Hubs",20000,"DOE FY22 Congressional Budget Justification Volume 4, Pages 61, 65, 86",https://www.energy.gov/science/bes/basic-energy-sciences,"The two multi-investigator, cross-disciplinary solar fuels research awards for the Fuels from Sunlight Hub program build on the unique accomplishments of the first Fuels from Sunlight Hub and address both new directions and long-standing challenges in the use of solar energy, water, and carbon dioxide as the only inputs for fuels production for clean energy. In FY21 this program supported early-stage fundamental research on solar fuels generation to address both emerging new directions and long- standing scientific challenges in this area of energy science. Research continues to focus on generating fuels using only sunlight, carbon dioxide, and water as inputs. However, photodriven generation of fuels from molecules other than carbon dioxide can also provide important new insights into principles for solar energy capture and conversion into liquid fuels","The Chemical Sciences, Geosciences, and Biosciences Energy Innovation Hubs address challenges in the use of solar energy, water, and carbon dioxide as the only inputs for fuels production in clean energy. ",20000,,,20000,,,,,,,10000,,10000,,,,,20000,,
Y,089-0222-0-1-251-0003,2021,Energy & Water,Y,DOE,Office of Science (SC),Biological and Environmental Research,753000,Biological Systems Facilities and Infrastructure,80000,"DOE FY22 Congressional Budget Justification Volume 4, Pages 179, 187",https://www.energy.gov/science/ber/biological-and-environmental-research,"The DOE JGI is the only federally funded major genome sequencing center focused on genome discovery and analysis in plants and microbes for energy and environmental applications. Functions of interest include microbial metabolic pathways and enzymes that are used to generate a range of different chemicals, affect plant biomass formation, degrade contaminants, or capture carbon dioxide, leading to the optimization of these organisms for cost effective biofuels and bioproducts production and other DOE missions.",The Biological Systems Facilities and Infrastructure program funds a major genome sequencing center focused on genome discovery and analysis in plants and microbes for energy and environmental applications such as biomass formation or carbon capture. ,80000,,,80000,,,,,,,26667,,26667,26667,,,,80000,,
Y,089-0222-0-1-251-0003,2021,Energy & Water,Y,DOE,Office of Science (SC),Biological and Environmental Research,753000,Genomic Science,277574,"DOE FY22 Congressional Budget Justification Volume 4, Pages 185-8",https://www.energy.gov/science/ber/biological-and-environmental-research,"The Genomic Science activity supports research seeking to reveal the fundamental principles that drive biological systems relevant to DOE missions in energy security and resilience. In FY21, funding supported expanded secure biosystems design research to gain the ability to stably and securely modify microorganisms and plants with specific beneficial traits for renewable bioenergy, bioproduct and biomaterials production with particular emphasis on programmable materials production and provide foundational research for the Next Generation of Biology. Operations worked to develop modified bioenergy crops with expanded traits for bioenergy and bioproduct production and tolerance to a range of environmental stresses, development of biomass deconstruction process streams, design of new engineered pathways in microbes to convert biomass components to a range of fuels, chemicals and bioproducts, and new analysis concepts for sustainable production of bioenergy crops on marginal lands. Should this be divided between Power & Agriculture or just go to Power since the agriculture part is to generate products for the power sector.","The Genomic Science research area focuses on stably and securely modifying microorganisms and plants with specific beneficial traits for renewable bioenergy, bioproduct and biomaterials production. These include new analysis concepts for sustainable production of bioenergy crops and microbes to convert biomass components to a range of fuels and bioproducts. ",277574,X,,55515,55515,55515,55515,55515,,,138787,,138787,,,,,277574,,
Y,089-0222-0-1-251-0006,2021,Energy & Water,Y,DOE,Office of Science (SC),Fusion Energy Sciences,415000,No Program/Research Area (Fusion Energy Sciences),415000,"DOE FY22 Congressional Budget Justification Volume 4, Pages 203, 207",https://www.energy.gov/science/fes/fusion-energy-sciences,"The mission of the Fusion Energy Sciences (FES) program is to expand the fundamental understanding of matter at very high temperatures and densities and to build the scientific foundation needed to develop a fusion energy source. This is accomplished through the study of plasma, the fourth state of matter, and how it interacts with its surroundings. Energy from fusion will be carbon-free, inherently safe, without the production of long-lived radioactive waste, and relying on a virtually inexhaustible fuel supply that is available worldwide. ","The Fusion Energy Sciences program builds the scientific foundation needed to develop a fusion energy source which is carbon-free, inherently safe, does not produce radioactive waste, and is virtually inexhaustible. ",415000,,,415000,,,,,,,207500,,207500,,,,,415000,,
Y, 069-1301-0-1-402-0010,2021,Transportation-HUD,Y,DOT,Federal Aviation Administration,"Research, Engineering & Development",198000,Alternative Fuels for General Aviation,2524,FAA FY22 Budget Estimates Section 3C Page 40; FAA FY21 Budget Estimates Pages 52-54,https://www.faa.gov/about/office_org/headquarters_offices/ang/redac,"Research for aviation fuels without lead to eliminate lead emissions from the piston engine general aviation fleet and support climate mitigation. Additionally, in FY21 this funding level proposed to support laboratory materials, test equipment, test support systems, ground based testing, altitude simulation testing, and in-flight testing. FY21 documentation does not include the same climate language as FY22 documentation but achieves the same goals.","The Alternative Fuels for General Aviation program researches, develops, and tests aviation fuels without lead emissions to support climate mitigation. ",2524,,,,2524,,,,,,,,1262,,1262,,,1262,1262,
Y, 069-1301-0-1-402-0010,2021,Transportation-HUD,Y,DOT,Federal Aviation Administration,"Research, Engineering & Development",198000,Environment and Energy,20304,FAA FY22 Budget Estimates Section 3C Page 59; FAA FY21 Budget Estimates Page 21,https://www.faa.gov/about/office_org/headquarters_offices/ang/redac,"The Environment and Energy (E&E) program is producing data and knowledge that are the scientific and technical foundation for the development of cost-effective measures to mitigate the environmental impacts of aviation noise and emissions. This program will develop a decision support tool to enable industry to mitigate the climate impacts of contrails and aviation induced cloudiness. In FY21, this program anticipated refining noise exposure and fuel burn targets, policies, and guidance and refining operational framework for assessing air traffic procedural changes on fuel burn and noise. FY21 documentation discusses ""fuel burn"" instead of ""emissions"" but it achieves the same goals.",The Environment and Energy program produces data to develop cost-effective measures to mitigate the environmental impacts of aviation noise and emissions. ,20304,,,,20304,,,,,20304,,,,,,,,20304,,
Y, 069-1301-0-1-402-0010,2021,Transportation-HUD,Y,DOT,Federal Aviation Administration,"Research, Engineering & Development",198000,"NextGen Environmental Research: Aircraft Technologies, and Fuels",31465,FAA FY22 Budget Estimates Section 3C Page 63; FAA FY21 Budget Estimates Pages 78-81,https://www.faa.gov/about/office_org/headquarters_offices/ang/redac,"The NextGen – Environmental Research: Aircraft Technologies and Fuels program supports efforts through the Continuous Lower Energy, Emissions, and Noise (CLEEN) program and the Aviation Sustainability Center (ASCENT) to develop new aircraft and engine technologies, and advanced sustainable aviation fuels. Technologies developed by this program will result in a fleet of aircraft that have lower noise, use less fuel, and produce fewer emissions. These goals do not change significantly from FY21 to FY22.","The NextGen – Environmental Research: Aircraft Technologies and Fuels program researches, develops, and deploys new aircraft technologies, engine technologies, and advanced sustainable aviation fuels to create a fleet which uses less fuel and produces fewer emissions.",31465,,,,31465,,,,,15733,,,15733,,,,,10488,10488,10488
Y, 069-8083-0-7-401-0015,2021,Transportation-HUD,Y,DOT,Federal Highway Administration,Federal-aid Highway Program,47061969,Congestion Mitigation and Air Quality Improvement Program,2493589,FHA FY22 Budget Estimates Section 3 Page 33,https://www.fhwa.dot.gov/federal-aidessentials/federalaid.cfm,"The CMAQ program supports the Secretary’s priority of reducing environmental harms, addressing environmental justice concerns and addressing climate change by providing a funding source for transportation projects and programs that help meet the requirements of the Clean Air Act. The CMAQ program provides funding to: improve transit; support Amtrak; support the installation of electronic vehicle charging stations and other alternative fuel projects; promote the use of advanced vehicle technologies and alternatively fueled vehicles; and improve multi-modal access via bicycle and pedestrian improvements.","The CMAQ program funds transportation projects and programs that support the Clean Air Act including deploying EV charging infrastructure, alternative fuel projects, and system efficiency improvements.",2493589,,,,2493589,,,,,831196,,831196,831196,,,,,,,2493589
Y, 069-8083-0-7-401-0019,2021,Transportation-HUD,Y,DOT,Federal Highway Administration,Federal-aid Highway Program,47061969,National Highway Freight Program,1487305,FHA FY22 Budget Estimates Section 3 Page 42,https://www.fhwa.dot.gov/federal-aidessentials/federalaid.cfm,"Provides funds to states to improve supply chains and the efficient movement of freight which will contribute to reduced emissions. Funds have been used to introduce EV's and charging networks to remote areas. According to FY23 Budget Estimates Table II-3, ~20% of funding goes towards climate and sustainability goals.","The National Highway Freight Program provides funds to states to improve efficiency of supply chains and freight, including introducing electric vehicles and charging networks to remote areas to contribute to reduced emissions.",297461,X,,,297461,,,,,148731,,148731,,,,,,,,297461
Y, 069-8083-0-7-401-0024,2021,Transportation-HUD,Y,DOT,Federal Highway Administration,Federal-aid Highway Program,47061969,Federal Lands and Tribal Transportation Programs,1250000,"FHA FY23 Budget Estimates II-3, III-65, III-66",https://www.fhwa.dot.gov/federal-aidessentials/federalaid.cfm,"These programs support safe, seamless, and multimodal transportation access to and within Federal and Tribal lands which represent nearly 32 percent of the Nation’s land area. While the bulk of their projects seem to support other infrastructure upgrades, they also promote EV infrastructure. According to FY23 Budget Estimates, 20% of funding goes towards climate and sustainability goals.","The Federal Lands and Tribal Transportation Programs support safe, seamless, and multimodal transportation access to and within Federal and Tribal lands, including promoting EV infrastructure among other infrastructure upgrades.",250000,X,,,250000,,,,,125000,,125000,,,,,,,,250000
Y, 069-8083-0-7-401-0017,2021,Transportation-HUD,Y,DOT,Federal Highway Administration,Federal-aid Highway Program,47061969,Metropolitan Transportation Planning,357875,"FHA FY23 Budget Estimates II-3, III-49, III-50",https://www.fhwa.dot.gov/federal-aidessentials/federalaid.cfm,"Through a coordinated, regional approach to planning, this program engages local jurisdictions as well as the State DOT and transit operators in a regional process that identifies the needs and investment priorities for the region. The results are a performance-based long range (20-year) Metropolitan Transportation Plan and a shorter term (4-year) program of transportation projects (Transportation Improvement Program). These plans and programs account for transportation system performance needs, future population and employment, future land use, economic development, public involvement, multimodal considerations and connectivity (including bicycle, pedestrian, highway, and transit), freight movement, environmental mitigation, transportation systems operation, safety, and congestion mitigation. According to FY23 Budget Estimates, 20% of funding goes towards climate and sustainability goals. Could be that funding is split between some plans that are mitigation focused and some that are adaptation focused, or they might go towards both. ","The Metropolitan Transportation Planning program engages local jurisdictions and transit operators to identify the needs and investment priorities for regions and create plans and programs to fill gaps in multimodal transportation, connectivity, environmental mitigation, and congestion mitigation among other priorities. ",71575,X,,,71575,,,,,35788,,35788,,,,,,,,71575
Y, 069-8083-0-7-401-0058,2021,Transportation-HUD,Y,DOT,Federal Highway Administration,Federal-aid Highway Program,47061969,Infrastructure for Rebuilding America (INFRA) Program,1000000,FHA FY22 Budget Estimates Section 3 Page 88,https://www.fhwa.dot.gov/federal-aidessentials/federalaid.cfm,"This program allows States, metropolitan planning organizations, local governments and other eligible entities to apply for funding to complete projects that improve safety, generate economic benefits, reduce congestion, enhance resiliency, and hold the greatest promise to eliminate freight bottlenecks and improve critical freight movements. Old program which expanded in 2021 to also include the key objective of addressing climate change. According to FY23 Budget Estimates, 20% of funding goes towards climate and sustainability goals.","The Infrastructure for Rebuilding America (INFRA) program allows States, metropolitan planning organizations, local governments, and other eligible entities to apply for funding to complete projects that improve safety, generate economic benefits, reduce congestion, enhance resiliency, and hold the greatest promise to eliminate freight bottlenecks and improve critical freight movements.",200000,X,,,200000,,,,,100000,,100000,,,,,,,,200000
Y,069-0548-0-1-401-0001,2021,Transportation-HUD,Y,DOT,Federal Highway Administration,Highway Infrastructure Programs,404000,Construction of Ferry Boats and Ferry Terminal Facilities,80000,"FHA FY23 Budget Estimates II-3, III-105, III-106",https://www.fhwa.dot.gov/specialfunding/fbp/,"The Construction of Ferry Boats and Ferry Terminal Facilities program provides funding for ferry services which are important links in the network of Federal-aid highways, and in many cases, are the only reasonable form of transportation. The Construction of Ferry Boats and Ferry Terminal Facilities program addresses mobility and access in urban and rural areas by providing valuable assistance to help States and other entities replace or acquire new ferry boats; replace propulsion systems with newer cleaner and more energy-efficient power plants; update navigational control systems; construct new terminals; improve access for the disabled; and replace and construct new docking facilities. According to FY23 Budget Estimates, 20% of funding goes towards climate and sustainability goals.",The Construction of Ferry Boats and Ferry Terminal Facilities program addresses mobility and access in urban and rural areas by providing valuable assistance to help States and other entities replace or acquire new ferry boats; replace propulsion systems with newer cleaner and more energy-efficient power plants; update navigational control systems; construct new terminals; improve access for the disabled; and replace and construct new docking facilities.,16000,,,,16000,,,,,16000,,,,,,,,,,16000
Y,069-0650-0-1-401,2021,Transportation-HUD,Y,DOT,National Highway Traffic Safety Administration,Operations & Research (GF): Research and Analysis,35598,Alternative Fuels,600,"NHTSA FY22 Budget Estimates Page 38; NHTSA FY23 Budget Estimates, Page 31",https://www.nhtsa.gov/crashworthiness/alternative-fuel-safety,Researches the safety of electric and hydrogen drive vehicle systems—including the potential fire and shock risks to Emergency Medical Services (EMS) personnel and other first responders associated with the use of lithium-ion batteries in electric vehicles—and develop diagnostic procedures to monitor the safety of these evolving systems and evaluate how performance tests can enhance battery safety for future electric vehicles. ,The Alternative Fuels program researches the safety of electric and hydrogen drive vehicle systems and develop diagnostic procedures to monitor the safety of these evolving systems to enhance the safety of future electric vehicles.,600,,,,600,,,,,,,300,300,,,,,600,,
Y,069-1129-0-1-401-0004,2021,Transportation-HUD,Y,DOT,Federal Transit Administration,Transit Formula Grants,10150348,Public Transportation Innovation,28000,"FTA FY22 Budget Estimates Page FTA-1, TFG-3, RDT-2",https://www.transit.dot.gov/grants?combine&field_grant_type_target_id=All&page=0,"The Public Transportation Innovation program supports the Department’s strategic priorities of safety, improving core assets, racial equity and economic inclusion, working towards zero-emissions by 2050, and building transformative, innovative projects today, while future-proofing our infrastructure to build back better and leave coming generations with a safe, equitable, and sustainable transportation system. Funding works to accelerate the adoption of zero- emission buses and associated electrification infrastructure. In FY21, funding sought to support artificial intelligence, machine learning, robotics, and an integrated safety systems innovation.",The Public Transportation Innovation program accelerates the adoption of zero-emission buses and associated electrification infrastructure among other safety and efficiency improvements.,28000,X,,,28000,,,,,14000,,14000,,,,,,28000,,
Y,069-0745-0-1-401-0001,2021,Transportation-HUD,Y,DOT,Federal Railroad Administration,Railroad Research & Development,41000,Railroad System Issues Program,6371,FRA FY22 Budget Estimates Page 49; FRA FY21 Budget Estimates Page 45,https://railroads.dot.gov/program-areas/research-and-development-funding/research-and-development-funding,"This program works to advance research, development, and testing of alternative fuels for use in rail and other clean energy solutions that will build on rail’s already superior energy efficiency and contribute to reductions in the transportation sector’s greenhouse gas emissions. In FY21, among other priorities, this program investigated railroad environmental issues and locomotive efficiency research.","The Railroad System Issues program works to advance research, development, and testing of alternative fuels for use in rail and other clean energy solutions.",6371,,,,6371,,,,,3186,,,3186,,,,,3186,3186,
Y,069-0127-0-1-401-0001,2021,Transportation-HUD,Y,DOT,Federal Railroad Administration,Restoration and Enhancement Grants,4720,Restoration and Enhancement Grants (Sub-Office),4720,"FRA FY22 Budget Estimates Page 11, 112",https://railroads.dot.gov/grants-loans/competitive-discretionary-grant-programs/restoration-and-enhancement-grant-program,"Proposed that the Passenger Rail Improvement, Modernization, and Expansion Grants (PRIME) program will consolidate and expand the funding currently going towards Restoration and Enhancement Grants starting in 2022. That is why Restoration and Enhacement grants already recieve funding for 2021 when PRIME does not. PRIME will serve as FRA’s primary grant program to expand existing intercity passenger rail corridors and develop new corridor services. Eligible projects include pre-construction activities – such as planning, environmental analysis, and engineering work – and capital construction. These funds will be used to reduce congestion and greenhouse gas emissions by expanding investment and use of passenger rail options for intercity travel.",Restoration and Enhancement Grants support expanding intercity passenger rail corridors and develop new cooridor services to reduce congestion and greenhouse gas emissions.,4720,,,,4720,,,,,4720,,,,,,,,,,4720
Y,069-0129-0-1-401-0001,2021,Transportation-HUD,Y,DOT,Federal Railroad Administration,Magnetic Levitation Technology Deployment Program,2000,Magnetic Levitation Technology Deployment Program (Sub-Office),2000,https://railroads.dot.gov/grants-loans/competitive-discretionary-grant-programs/magnetic-levitation-deployment-grants-0,https://railroads.dot.gov/grants-loans/competitive-discretionary-grant-programs/magnetic-levitation-deployment-grants-0,"The Magnetic Levitation (Maglev) Deployment Grants Program has funded preconstruction planning activities and capital costs of viable, existing Maglev projects, including projects that involve technologies that employ Maglev in conjunction with other complementary technologies. Maglev is completely emission-free.N31:N32","The Magnetic Levitation Technology Deployment Program (Maglev) funds preconstruction planning activities and capital costs of viable, existing, completely emission-free Maglev projects. ",2000,,,,2000,,,,,2000,,,,,,,,,,2000
Y,069-5172-0-2-407-0002,2021,Transportation-HUD,Y,DOT,Pipeline & Hazardous Materials Safety Administration,Pipeline Safety,168000,Research & Development,12000,"PHMSA FY22 Budget Estimates Pages 32, 37; PHMSA FY21 Budget Estimates Page 59",https://www.phmsa.dot.gov/about-phmsa/offices/office-pipeline-safety,"Improving pipeline safety will reduce climate and environmental impacts by reducing methane emissions in the oil and gas sector. The Office of Pipeline Safety funds research on projects that provide near-term solutions to improve pipeline safety, reduce the environmental impact of failures, and enhance the safety and reliability of the nation’s pipeline transportation system. Research programs also focus on alternative fuels such as Hydrogen. The goals of this program did not change significantly from FY21 to FY22.","The Research & Development program in the Pipeline Safety Sub-Office funds research on projects that provide near-term solutions to improve pipeline safety and reduce the environmental impact of failures, therefore reducing methane emissions from the oil and gas sector. ",12000,,,,12000,,,,,,,,,,12000,,,12000,,
